 le nom de la ville;le code département;population totale;
01;Auvergne-Rhône-Alpes;43 454;
02;Hauts-de-France;26 031;
02;Hauts-de-France;55 940;
02;Hauts-de-France;29 417;
03;Auvergne-Rhône-Alpes;37 417;
05;Provence-Alpes-Côte d'Azur;42 567;
06;Provence-Alpes-Côte d'Azur;74 982;
06;Provence-Alpes-Côte d'Azur;50 385;
06;Provence-Alpes-Côte d'Azur;75 046;
06;Provence-Alpes-Côte d'Azur;42 056;
06;Provence-Alpes-Côte d'Azur;51 705;
06;Provence-Alpes-Côte d'Azur;28 942;
06;Provence-Alpes-Côte d'Azur;345 998;
06;Provence-Alpes-Côte d'Azur;28 831;
06;Provence-Alpes-Côte d'Azur;26 787;
08;Grand Est;48 420;
10;Grand Est;61 988;
11;Occitanie;47 418;
11;Occitanie;55 001;
12;Occitanie;25 747;
13;Provence-Alpes-Côte d'Azur;146 385;
13;Provence-Alpes-Côte d'Azur;53 807;
13;Provence-Alpes-Côte d'Azur;45 711;
13;Provence-Alpes-Côte d'Azur;35 758;
13;Provence-Alpes-Côte d'Azur;44 248;
13;Provence-Alpes-Côte d'Azur;33 949;
13;Provence-Alpes-Côte d'Azur;870 018;
13;Provence-Alpes-Côte d'Azur;49 310;
13;Provence-Alpes-Côte d'Azur;26 217;
13;Provence-Alpes-Côte d'Azur;46 225;
13;Provence-Alpes-Côte d'Azur;34 301;
14;Normandie;108 461;
15;Auvergne-Rhône-Alpes;27 659;
16;Nouvelle-Aquitaine;44 629;
17;Nouvelle-Aquitaine;78 623;
17;Nouvelle-Aquitaine;26 890;
18;Centre-Val de Loire;67 841;
18;Centre-Val de Loire;27 036;
19;Nouvelle-Aquitaine;48 333;
2A;Corse;70 063;
2B;Corse;45 596;
21;Bourgogne-Franche-Comté;159 031;
22;Bretagne;47 058;
24;Nouvelle-Aquitaine;28 166;
24;Nouvelle-Aquitaine;31 505;
25;Bourgogne-Franche-Comté;120 107;
25;Bourgogne-Franche-Comté;26 015;
26;Auvergne-Rhône-Alpes;39 924;
26;Auvergne-Rhône-Alpes;34 095;
26;Auvergne-Rhône-Alpes;64 322;
27;Normandie;51 560;
28;Centre-Val de Loire;40 195;
28;Centre-Val de Loire;31 575;
29;Bretagne;142 629;
29;Bretagne;66 743;
30;Occitanie;41 129;
30;Occitanie;154 196;
31;Occitanie;39 200;
31;Occitanie;25 961;
31;Occitanie;482 738;
31;Occitanie;27 008;
33;Nouvelle-Aquitaine;28 092;
33;Nouvelle-Aquitaine;256 045;
33;Nouvelle-Aquitaine;26 029;
33;Nouvelle-Aquitaine;25 491;
33;Nouvelle-Aquitaine;71 203;
33;Nouvelle-Aquitaine;62 737;
33;Nouvelle-Aquitaine;31 576;
33;Nouvelle-Aquitaine;44 040;
33;Nouvelle-Aquitaine;26 525;
33;Nouvelle-Aquitaine;33 091;
34;Occitanie;28 120;
34;Occitanie;77 894;
34;Occitanie;26 263;
34;Occitanie;286 098;
34;Occitanie;44 271;
35;Bretagne;222 104;
35;Bretagne;47 528;
36;Centre-Val de Loire;45 780;
37;Centre-Val de Loire;37 974;
37;Centre-Val de Loire;139 963;
38;Auvergne-Rhône-Alpes;28 399;
38;Auvergne-Rhône-Alpes;36 143;
38;Auvergne-Rhône-Alpes;160 836;
38;Auvergne-Rhône-Alpes;38 974;
38;Auvergne-Rhône-Alpes;30 178;
40;Nouvelle-Aquitaine;31 517;
41;Centre-Val de Loire;47 524;
42;Auvergne-Rhône-Alpes;35 913;
42;Auvergne-Rhône-Alpes;35 969;
42;Auvergne-Rhône-Alpes;174 298;
44;Pays de la Loire;314 611;
44;Pays de la Loire;26 618;
44;Pays de la Loire;41 808;
44;Pays de la Loire;47 502;
44;Pays de la Loire;72 295;
44;Pays de la Loire;27 591;
45;Centre-Val de Loire;118 102;
47;Nouvelle-Aquitaine;34 565;
49;Pays de la Loire;155 543;
49;Pays de la Loire;55 772;
49;Pays de la Loire;28 554;
49;Pays de la Loire;26 239;
50;Normandie;82 578;
51;Grand Est;46 288;
51;Grand Est;187 074;
52;Grand Est;25 666;
53;Pays de la Loire;52 359;
